Marca;Modelo Base;Ano Modelo;Valor medio;;;;;;
Audi;A1;2017;100.039,06;;;;;;
Audi;A1;2018;114.378,53;;;;;;
Audi;A1;2022;112.027,25;;;;;;
Audi;A3;2019;176.044,90;;;;;;
Audi;A3;2018;139.139,38;;;;;;
Audi;A3;2022;137.548,59;;;;;;
Audi;A3;2021;176.513,13;;;;;;
Audi;A3;2020;182.442,31;;;;;;
Audi;A4;2017;135.900,02;;;;;;
Audi;A4;2018;156.549,01;;;;;;
Audi;A4;2022;195.038,98;;;;;;
Audi;A4;2019;208.298,76;;;;;;
Audi;A5;2022;228.411,39;;;;;;
Audi;A5;2019;244.150,03;;;;;;
Audi;A5;2017;119.301,70;;;;;;
Audi;A5;2018;187.679,27;;;;;;
Audi;A6;2020;383.879,10;;;;;;
Audi;A6;2018;243.706,82;;;;;;
Audi;A6;2022;334.479,83;;;;;;
Audi;A6;2017;301.648,65;;;;;;
Audi;A7;2020;482.045,40;;;;;;
Audi;A7;2018;310.627,67;;;;;;
Audi;A7;2022;407.791,11;;;;;;
Audi;A8;2022;598.637,56;;;;;;
Audi;A8;2017;630.399,69;;;;;;
Audi;E-TRON;2022;617.837,62;;;;;;
Audi;Q3;2019;144.352,48;;;;;;
Audi;Q3;2021;274.729,00;;;;;;
Audi;Q3;2022;196.996,12;;;;;;
Audi;Q3;2018;166.341,01;;;;;;
Audi;Q5;2022;283.233,92;;;;;;
Audi;Q5;2018;206.591,76;;;;;;
Audi;Q5;2020;308.425,83;;;;;;
Audi;Q5;2017;180.273,43;;;;;;
Audi;Q7;2022;383.350,38;;;;;;
Audi;Q7;2019;412.183,90;;;;;;
Audi;Q8;2022;593.405,26;;;;;;
Audi;R8;2022;898.157,42;;;;;;
Audi;R8;2018;900.280,33;;;;;;
Audi;RS;2022;572.449,09;;;;;;
Audi;RS;2018;265.606,40;;;;;;
Audi;RS3;2022;309.212,62;;;;;;
Audi;RS3;2018;338.341,57;;;;;;
Audi;RS4;2022;534.901,63;;;;;;
Audi;RS5;2019;499.004,60;;;;;;
Audi;RS5;2022;513.835,92;;;;;;
Audi;RS6;2022;618.441,64;;;;;;
Audi;RS6;2018;513.192,42;;;;;;
Audi;RS7;2022;757.745,10;;;;;;
Audi;RS7;2018;629.722,25;;;;;;
Audi;S;2022;373.709,93;;;;;;
Audi;S;2020;475.788,10;;;;;;
Audi;S3;2022;214.858,31;;;;;;
Audi;S4;2022;333.281,96;;;;;;
Audi;S5;2022;358.122,66;;;;;;
Audi;S6;2022;416.524,95;;;;;;
Audi;S7;2022;498.981,79;;;;;;
Audi;S8;2017;725.176,63;;;;;;
Audi;S8;2022;770.515,00;;;;;;
Audi;TT;2022;231.698,76;;;;;;
Audi;TT;2018;247.762,94;;;;;;
Audi;TTRS;2022;426.225,43;;;;;;
Audi;TTRS;2018;366.885,73;;;;;;
Audi;TTS;2018;310.392,26;;;;;;
Audi;TTS;2022;305.218,40;;;;;;
LAMBORGHINI;AVENTADOR;2021;7.652.513,25;;;;;;
